0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,date,125,126,127,128
9.0,10.0,6.0,4.0,4.0,13.0,7.0,4.0,6.0,5.0,7.0,3.0,4.0,3.0,8.0,4.0,7.0,6.0,4.0,8.0,6.0,10.0,9.0,10.0,6.0,7.0,10.0,6.0,9.0,8.0,13.0,5.0,8.0,3.0,11.0,14.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,10.0,13.0,7.0,4.0,4.0,14.0,7.0,5.0,5.0,13.0,12.0,13.0,8.0,5.0,12.0,8.0,8.0,9.0,12.0,5.0,16.0,11.0,2.0,16.0,3.0,10.0,2.0,15.0,11.0,3.0,3.0,3.0,2.0,3.0,15.0,5.0,3.0,12.0,3.0,5.0,2.0,3.0,3.0,14.0,5.0,6.0,7.0,4.0,3.0,4.0,8.0,6.0,7.0,5.0,4.0,4.0,12.0,8.0,8.0,8.0,7.0,7.0,6.0,4.0,9.0,7.0,9.0,6.0,8.0,9.0,7.0,23.0,8.0,7.0,5.0,18.0,28.0,8.0,10.0,14.0,12.0,13.0,2023-06-06 13:09:22.661882+00:00,10.0,12.0,7.0,4.0
11.0,13.0,4.0,14.0,13.0,7.0,5.0,6.0,7.0,11.0,12.0,3.0,8.0,18.0,19.0,14.0,4.0,3.0,4.0,7.0,11.0,8.0,9.0,6.0,6.0,9.0,6.0,17.0,18.0,5.0,7.0,6.0,6.0,6.0,14.0,5.0,5.0,3.0,9.0,3.0,11.0,2.0,2.0,6.0,9.0,7.0,3.0,7.0,12.0,8.0,18.0,11.0,9.0,10.0,17.0,15.0,7.0,10.0,9.0,12.0,10.0,18.0,15.0,8.0,9.0,8.0,3.0,10.0,8.0,12.0,11.0,4.0,4.0,8.0,15.0,3.0,4.0,6.0,1.0,4.0,2.0,7.0,9.0,9.0,8.0,4.0,8.0,13.0,7.0,2.0,5.0,5.0,10.0,12.0,8.0,9.0,8.0,6.0,3.0,18.0,16.0,8.0,4.0,3.0,15.0,9.0,12.0,56.0,140.0,3.0,4.0,8.0,16.0,14.0,71.0,42.0,65.0,160.0,9.0,4.0,5.0,11.0,11.0,13.0,13.0,2023-06-09 12:56:51.690468+00:00,17.0,7.0,4.0,7.0
13.0,16.0,5.0,4.0,5.0,12.0,15.0,11.0,12.0,3.0,16.0,17.0,3.0,12.0,4.0,16.0,14.0,11.0,11.0,5.0,6.0,5.0,11.0,11.0,10.0,6.0,11.0,7.0,10.0,9.0,7.0,8.0,15.0,5.0,8.0,12.0,14.0,12.0,8.0,7.0,4.0,3.0,3.0,3.0,7.0,18.0,7.0,13.0,7.0,5.0,8.0,6.0,4.0,5.0,9.0,17.0,9.0,10.0,4.0,8.0,6.0,10.0,5.0,4.0,13.0,7.0,5.0,7.0,18.0,7.0,5.0,7.0,3.0,8.0,14.0,4.0,4.0,6.0,8.0,16.0,6.0,8.0,7.0,3.0,4.0,5.0,4.0,4.0,13.0,10.0,3.0,2.0,6.0,6.0,13.0,9.0,4.0,3.0,3.0,5.0,5.0,18.0,9.0,6.0,6.0,10.0,4.0,5.0,15.0,47.0,17.0,11.0,9.0,3.0,9.0,6.0,53.0,26.0,18.0,13.0,25.0,12.0,18.0,10.0,4.0,2023-06-12 09:30:07.362384+00:00,6.0,14.0,3.0,
14.0,11.0,5.0,10.0,12.0,14.0,10.0,4.0,5.0,13.0,8.0,14.0,9.0,11.0,11.0,6.0,13.0,7.0,3.0,9.0,10.0,5.0,12.0,16.0,3.0,6.0,14.0,12.0,14.0,7.0,16.0,14.0,8.0,9.0,10.0,5.0,2.0,10.0,13.0,7.0,16.0,10.0,16.0,14.0,7.0,7.0,13.0,9.0,9.0,8.0,12.0,15.0,12.0,19.0,14.0,7.0,7.0,4.0,6.0,10.0,15.0,14.0,11.0,9.0,6.0,7.0,6.0,6.0,17.0,8.0,4.0,6.0,5.0,12.0,8.0,13.0,9.0,9.0,5.0,11.0,7.0,14.0,13.0,16.0,12.0,7.0,13.0,6.0,7.0,3.0,3.0,15.0,12.0,10.0,9.0,5.0,17.0,18.0,10.0,17.0,15.0,11.0,5.0,10.0,38.0,7.0,10.0,14.0,11.0,16.0,15.0,8.0,29.0,8.0,11.0,8.0,25.0,9.0,11.0,97.0,12.0,18.0,13.0,12.0,16.0,2023-06-20 17:43:34.430540+00:00,16.0,17.0,14.0,4.0
10.0,18.0,16.0,2.0,1.0,3.0,15.0,8.0,8.0,15.0,5.0,3.0,6.0,2.0,4.0,8.0,6.0,12.0,10.0,10.0,8.0,4.0,21.0,7.0,4.0,5.0,9.0,16.0,14.0,12.0,8.0,15.0,8.0,2.0,5.0,3.0,9.0,5.0,8.0,2.0,2.0,3.0,8.0,6.0,11.0,11.0,2.0,5.0,14.0,12.0,14.0,3.0,3.0,9.0,3.0,19.0,4.0,19.0,16.0,8.0,18.0,18.0,15.0,6.0,7.0,12.0,8.0,15.0,11.0,9.0,2.0,5.0,5.0,12.0,7.0,3.0,2.0,8.0,11.0,5.0,3.0,5.0,10.0,9.0,2.0,4.0,18.0,9.0,9.0,11.0,12.0,15.0,4.0,9.0,12.0,12.0,4.0,3.0,6.0,5.0,19.0,5.0,4.0,15.0,6.0,3.0,2.0,42.0,35.0,8.0,5.0,7.0,25.0,2.0,9.0,6.0,3.0,3.0,37.0,3.0,7.0,9.0,16.0,15.0,17.0,2023-06-21 17:42:08.788306+00:00,13.0,10.0,11.0,
4.0,5.0,8.0,4.0,3.0,4.0,2.0,4.0,2.0,11.0,14.0,11.0,5.0,15.0,5.0,5.0,10.0,2.0,1.0,7.0,11.0,5.0,10.0,13.0,11.0,4.0,12.0,17.0,11.0,13.0,14.0,20.0,6.0,2.0,11.0,12.0,2.0,6.0,3.0,16.0,7.0,5.0,4.0,3.0,16.0,17.0,2.0,3.0,11.0,6.0,10.0,4.0,13.0,5.0,6.0,3.0,14.0,3.0,8.0,14.0,15.0,13.0,2.0,15.0,13.0,6.0,5.0,8.0,10.0,5.0,6.0,8.0,5.0,5.0,6.0,6.0,5.0,5.0,15.0,5.0,3.0,6.0,2.0,10.0,4.0,8.0,14.0,5.0,17.0,2.0,2.0,16.0,17.0,11.0,16.0,10.0,8.0,15.0,6.0,4.0,9.0,3.0,4.0,2.0,11.0,17.0,19.0,56.0,47.0,37.0,3.0,10.0,22.0,9.0,5.0,29.0,86.0,69.0,77.0,31.0,26.0,23.0,16.0,14.0,11.0,2023-06-23 12:02:30.912878+00:00,11.0,3.0,12.0,2.0
13.0,7.0,15.0,3.0,11.0,2.0,3.0,15.0,8.0,7.0,16.0,3.0,3.0,10.0,2.0,9.0,20.0,2.0,2.0,10.0,7.0,12.0,7.0,16.0,2.0,8.0,8.0,9.0,19.0,7.0,18.0,17.0,8.0,12.0,3.0,13.0,2.0,10.0,11.0,7.0,6.0,2.0,4.0,2.0,13.0,15.0,2.0,3.0,2.0,5.0,2.0,8.0,8.0,3.0,2.0,11.0,9.0,2.0,4.0,3.0,2.0,6.0,17.0,7.0,11.0,12.0,7.0,13.0,2.0,6.0,4.0,11.0,2.0,2.0,12.0,17.0,3.0,5.0,11.0,12.0,11.0,2.0,6.0,10.0,3.0,4.0,4.0,9.0,8.0,17.0,11.0,2.0,5.0,2.0,2.0,4.0,12.0,5.0,4.0,12.0,3.0,11.0,18.0,2.0,9.0,16.0,9.0,67.0,20.0,26.0,17.0,28.0,22.0,18.0,7.0,3.0,138.0,19.0,3.0,23.0,8.0,14.0,3.0,4.0,6.0,2023-07-05 09:27:33.736264+00:00,3.0,6.0,,
9.0,15.0,18.0,3.0,10.0,5.0,3.0,10.0,10.0,6.0,14.0,4.0,10.0,2.0,5.0,14.0,11.0,49.0,4.0,4.0,10.0,13.0,7.0,4.0,5.0,10.0,8.0,10.0,4.0,12.0,18.0,11.0,11.0,3.0,4.0,4.0,4.0,6.0,11.0,12.0,7.0,6.0,4.0,10.0,113.0,94.0,10.0,18.0,12.0,10.0,8.0,7.0,5.0,113.0,5.0,9.0,13.0,5.0,4.0,7.0,6.0,10.0,10.0,6.0,10.0,5.0,76.0,152.0,8.0,6.0,10.0,13.0,6.0,8.0,6.0,16.0,11.0,9.0,69.0,99.0,7.0,7.0,4.0,4.0,15.0,22.0,22.0,8.0,13.0,22.0,6.0,8.0,2.0,19.0,21.0,15.0,118.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-06 12:12:43.230387+00:00,,,,
11.0,10.0,9.0,4.0,2.0,9.0,2.0,6.0,3.0,9.0,4.0,11.0,20.0,4.0,18.0,13.0,14.0,9.0,6.0,8.0,6.0,4.0,14.0,3.0,8.0,6.0,10.0,13.0,4.0,7.0,5.0,6.0,14.0,11.0,2.0,9.0,2.0,2.0,12.0,2.0,6.0,9.0,5.0,8.0,20.0,15.0,10.0,5.0,15.0,6.0,7.0,16.0,12.0,15.0,12.0,16.0,11.0,8.0,6.0,10.0,14.0,20.0,12.0,11.0,14.0,5.0,15.0,4.0,12.0,2.0,4.0,4.0,7.0,2.0,11.0,4.0,7.0,6.0,4.0,2.0,5.0,18.0,9.0,3.0,4.0,9.0,13.0,10.0,2.0,10.0,4.0,7.0,7.0,4.0,5.0,5.0,6.0,9.0,8.0,16.0,13.0,6.0,12.0,5.0,3.0,9.0,22.0,125.0,31.0,5.0,5.0,5.0,6.0,36.0,98.0,84.0,33.0,5.0,6.0,8.0,14.0,8.0,7.0,6.0,11.0,2023-07-12 16:53:51.088409+00:00,6.0,,,
13.0,9.0,4.0,12.0,10.0,13.0,7.0,6.0,3.0,3.0,9.0,17.0,13.0,17.0,12.0,15.0,17.0,2.0,2.0,6.0,6.0,3.0,13.0,19.0,3.0,4.0,8.0,14.0,7.0,3.0,4.0,3.0,14.0,10.0,16.0,7.0,2.0,5.0,8.0,15.0,4.0,4.0,14.0,19.0,6.0,6.0,5.0,3.0,17.0,10.0,7.0,10.0,16.0,22.0,17.0,18.0,14.0,13.0,11.0,16.0,16.0,6.0,16.0,16.0,8.0,6.0,10.0,10.0,3.0,7.0,3.0,10.0,5.0,3.0,14.0,10.0,16.0,3.0,3.0,4.0,4.0,4.0,15.0,5.0,12.0,9.0,18.0,10.0,13.0,3.0,3.0,11.0,5.0,7.0,7.0,5.0,4.0,10.0,13.0,16.0,19.0,14.0,13.0,3.0,6.0,4.0,24.0,33.0,3.0,17.0,6.0,6.0,24.0,53.0,76.0,4.0,3.0,2.0,8.0,16.0,14.0,14.0,8.0,3.0,6.0,2023-07-18 14:39:04.197695+00:00,,,,
13.0,14.0,7.0,16.0,10.0,13.0,17.0,11.0,8.0,6.0,5.0,11.0,13.0,11.0,8.0,15.0,15.0,7.0,5.0,5.0,4.0,6.0,13.0,9.0,3.0,8.0,5.0,15.0,14.0,7.0,10.0,9.0,10.0,5.0,14.0,19.0,8.0,7.0,6.0,3.0,7.0,8.0,5.0,5.0,14.0,18.0,7.0,5.0,7.0,4.0,9.0,10.0,14.0,19.0,15.0,10.0,4.0,14.0,4.0,15.0,13.0,18.0,17.0,9.0,5.0,11.0,14.0,8.0,10.0,17.0,6.0,11.0,6.0,13.0,8.0,9.0,9.0,7.0,12.0,9.0,8.0,6.0,4.0,5.0,9.0,6.0,15.0,15.0,10.0,9.0,4.0,4.0,5.0,7.0,5.0,3.0,6.0,11.0,7.0,14.0,15.0,8.0,15.0,6.0,7.0,15.0,21.0,90.0,20.0,13.0,8.0,4.0,10.0,7.0,46.0,20.0,30.0,81.0,128.0,8.0,10.0,5.0,13.0,16.0,19.0,2023-07-21 09:53:31.394415+00:00,15.0,8.0,3.0,
13.0,4.0,3.0,6.0,17.0,17.0,4.0,11.0,6.0,7.0,16.0,10.0,12.0,8.0,2.0,3.0,4.0,13.0,8.0,12.0,10.0,12.0,15.0,5.0,11.0,7.0,13.0,13.0,3.0,5.0,12.0,4.0,5.0,6.0,3.0,3.0,16.0,8.0,4.0,3.0,16.0,18.0,7.0,3.0,9.0,14.0,3.0,4.0,3.0,6.0,15.0,11.0,4.0,3.0,18.0,3.0,5.0,9.0,4.0,11.0,10.0,2.0,6.0,16.0,4.0,5.0,6.0,6.0,3.0,5.0,4.0,2.0,5.0,12.0,15.0,6.0,18.0,3.0,4.0,12.0,3.0,2.0,6.0,18.0,19.0,10.0,10.0,4.0,6.0,12.0,3.0,9.0,10.0,12.0,12.0,11.0,15.0,18.0,6.0,5.0,3.0,8.0,5.0,2.0,13.0,8.0,13.0,16.0,6.0,9.0,1.0,2.0,28.0,16.0,19.0,130.0,16.0,9.0,11.0,5.0,11.0,18.0,17.0,3.0,13.0,2023-07-27 12:46:37.421125+00:00,17.0,3.0,,
5.0,8.0,7.0,5.0,12.0,13.0,13.0,12.0,3.0,3.0,5.0,14.0,12.0,11.0,15.0,9.0,14.0,9.0,3.0,2.0,5.0,6.0,9.0,12.0,3.0,5.0,6.0,14.0,5.0,3.0,3.0,2.0,9.0,9.0,14.0,6.0,5.0,4.0,7.0,3.0,10.0,14.0,20.0,16.0,14.0,4.0,5.0,2.0,5.0,6.0,11.0,4.0,14.0,10.0,13.0,12.0,10.0,9.0,3.0,7.0,16.0,10.0,11.0,5.0,6.0,8.0,7.0,7.0,4.0,3.0,14.0,10.0,9.0,4.0,7.0,14.0,16.0,7.0,9.0,15.0,10.0,3.0,3.0,4.0,14.0,14.0,21.0,18.0,6.0,13.0,3.0,3.0,5.0,5.0,4.0,5.0,15.0,11.0,15.0,15.0,16.0,15.0,14.0,14.0,6.0,13.0,20.0,132.0,30.0,24.0,4.0,2.0,6.0,4.0,12.0,36.0,83.0,45.0,19.0,6.0,5.0,3.0,4.0,14.0,17.0,2023-07-28 10:58:12.621399+00:00,12.0,12.0,4.0,5.0
5.0,8.0,7.0,5.0,12.0,13.0,13.0,12.0,3.0,3.0,5.0,14.0,12.0,11.0,15.0,9.0,14.0,9.0,3.0,2.0,5.0,6.0,9.0,12.0,3.0,5.0,6.0,14.0,5.0,3.0,3.0,2.0,9.0,9.0,14.0,6.0,5.0,4.0,7.0,3.0,10.0,14.0,20.0,16.0,14.0,4.0,5.0,2.0,5.0,6.0,11.0,4.0,14.0,10.0,13.0,12.0,10.0,9.0,3.0,7.0,16.0,10.0,11.0,5.0,6.0,8.0,7.0,7.0,4.0,3.0,14.0,10.0,9.0,4.0,7.0,14.0,16.0,7.0,9.0,15.0,10.0,3.0,3.0,4.0,14.0,14.0,21.0,18.0,6.0,13.0,3.0,3.0,5.0,5.0,4.0,5.0,15.0,11.0,15.0,15.0,16.0,15.0,14.0,14.0,6.0,13.0,20.0,132.0,30.0,24.0,4.0,2.0,6.0,4.0,12.0,36.0,83.0,45.0,19.0,6.0,5.0,3.0,4.0,14.0,17.0,2023-07-28 11:58:28.689981+00:00,12.0,12.0,4.0,5.0
15.0,10.0,6.0,3.0,2.0,19.0,5.0,3.0,8.0,5.0,9.0,3.0,12.0,4.0,11.0,8.0,12.0,17.0,3.0,7.0,7.0,8.0,13.0,11.0,8.0,5.0,8.0,19.0,7.0,8.0,7.0,2.0,14.0,12.0,4.0,2.0,3.0,9.0,15.0,4.0,4.0,2.0,3.0,10.0,2.0,7.0,5.0,8.0,6.0,9.0,4.0,12.0,3.0,17.0,7.0,15.0,15.0,16.0,5.0,8.0,6.0,11.0,14.0,6.0,16.0,10.0,14.0,15.0,6.0,17.0,7.0,14.0,7.0,6.0,2.0,4.0,7.0,4.0,3.0,3.0,2.0,2.0,10.0,4.0,9.0,3.0,7.0,10.0,2.0,13.0,6.0,6.0,9.0,10.0,4.0,4.0,15.0,9.0,3.0,2.0,5.0,4.0,4.0,7.0,6.0,8.0,3.0,2.0,30.0,13.0,15.0,6.0,8.0,13.0,21.0,4.0,61.0,33.0,14.0,19.0,4.0,10.0,7.0,16.0,3.0,2023-07-31 16:39:36.038270+00:00,10.0,6.0,9.0,2.0
3.0,16.0,8.0,17.0,11.0,8.0,7.0,10.0,5.0,8.0,12.0,18.0,4.0,10.0,12.0,4.0,8.0,4.0,12.0,2.0,13.0,8.0,10.0,5.0,10.0,10.0,12.0,16.0,8.0,8.0,5.0,3.0,4.0,17.0,3.0,9.0,4.0,13.0,9.0,13.0,18.0,8.0,13.0,14.0,10.0,15.0,14.0,8.0,5.0,6.0,15.0,5.0,10.0,7.0,4.0,4.0,7.0,15.0,15.0,11.0,17.0,5.0,14.0,13.0,3.0,14.0,7.0,3.0,13.0,10.0,11.0,17.0,5.0,5.0,16.0,13.0,19.0,13.0,16.0,4.0,4.0,16.0,10.0,17.0,10.0,11.0,10.0,4.0,6.0,17.0,13.0,10.0,9.0,15.0,17.0,14.0,4.0,11.0,11.0,3.0,3.0,7.0,15.0,14.0,6.0,16.0,21.0,19.0,47.0,35.0,18.0,8.0,20.0,16.0,37.0,24.0,18.0,115.0,25.0,19.0,7.0,15.0,13.0,11.0,7.0,2023-08-02 11:33:13.597292+00:00,4.0,5.0,9.0,9.0
9.0,5.0,7.0,8.0,6.0,3.0,18.0,13.0,3.0,2.0,6.0,8.0,8.0,12.0,18.0,9.0,6.0,8.0,4.0,4.0,10.0,13.0,12.0,7.0,7.0,7.0,5.0,11.0,9.0,7.0,8.0,10.0,15.0,7.0,4.0,5.0,14.0,10.0,13.0,4.0,4.0,8.0,7.0,15.0,11.0,6.0,4.0,3.0,9.0,6.0,3.0,14.0,5.0,15.0,13.0,11.0,3.0,10.0,5.0,14.0,14.0,11.0,11.0,5.0,1.0,9.0,1.0,14.0,14.0,14.0,10.0,4.0,16.0,11.0,5.0,6.0,3.0,12.0,11.0,15.0,10.0,1.0,6.0,4.0,2.0,10.0,9.0,13.0,15.0,7.0,7.0,7.0,9.0,6.0,14.0,6.0,6.0,7.0,4.0,14.0,14.0,12.0,5.0,10.0,8.0,11.0,18.0,12.0,32.0,14.0,7.0,6.0,12.0,11.0,13.0,33.0,37.0,24.0,37.0,4.0,12.0,14.0,9.0,4.0,18.0,2023-08-08 15:37:26.013296+00:00,2.0,11.0,8.0,
2.0,2.0,3.0,6.0,3.0,2.0,5.0,5.0,4.0,3.0,9.0,7.0,13.0,9.0,4.0,8.0,12.0,13.0,13.0,4.0,6.0,12.0,11.0,3.0,8.0,6.0,16.0,15.0,8.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,13.0,2.0,13.0,11.0,6.0,12.0,6.0,4.0,4.0,10.0,6.0,3.0,5.0,5.0,8.0,7.0,9.0,3.0,2.0,11.0,17.0,8.0,10.0,10.0,12.0,10.0,13.0,1.0,5.0,3.0,8.0,5.0,5.0,3.0,2.0,5.0,10.0,3.0,3.0,4.0,6.0,3.0,9.0,2.0,3.0,3.0,8.0,4.0,3.0,5.0,6.0,5.0,14.0,7.0,6.0,5.0,9.0,8.0,8.0,4.0,8.0,5.0,8.0,4.0,8.0,12.0,11.0,7.0,7.0,39.0,3.0,18.0,30.0,7.0,3.0,17.0,22.0,22.0,42.0,33.0,17.0,21.0,32.0,19.0,27.0,13.0,10.0,13.0,2023-08-16 17:17:53.829534+00:00,10.0,9.0,12.0,3.0
